RIC,Month,Year,Credit_spread
05531FBF9=,4,2022,0.00476
05531FBF9=,5,2022,0.00625
05531FBF9=,6,2022,0.00557
05531FBF9=,7,2022,0.0040149999999999995
05531FBF9=,8,2022,0.00134
05531FBF9=,9,2022,0.002295
05531FBF9=,10,2022,0.00592
05531FBF9=,11,2022,0.0036
05531FBF9=,12,2022,0.00123
05531FBF9=,1,2023,0.00356
05531FBF9=,2,2023,0.0008699999999999999
05531FBF9=,3,2023,0.002535
05531FBF9=,4,2023,0.01891
05531FBF9=,5,2023,0.007599999999999999
05531FBF9=,6,2023,0.015775
05531FBF9=,7,2023,0.01265
05531FBH5=,7,2019,0.00636
05531FBH5=,8,2019,0.00745
05531FBH5=,9,2019,0.00812
05531FBH5=,10,2019,0.00754
05531FBH5=,11,2019,0.006699999999999999
05531FBH5=,12,2019,0.006529999999999999
05531FBH5=,1,2020,0.0052250000000000005
05531FBH5=,2,2020,0.0061200000000000004
05531FBH5=,3,2020,0.008414999999999999
05531FBH5=,4,2020,0.020479999999999998
05531FBH5=,5,2020,0.01323
05531FBH5=,6,2020,0.0077
05531FBH5=,7,2020,0.00667
05531FBH5=,8,2020,0.004905
05531FBH5=,9,2020,0.00561
05531FBH5=,10,2020,0.006229999999999999
05531FBH5=,11,2020,0.00413
05531FBH5=,12,2020,0.00485
05531FBH5=,1,2021,0.00422
05531FBH5=,2,2021,0.0039
05531FBH5=,3,2021,0.0043
05531FBH5=,4,2021,0.0033049999999999998
05531FBH5=,5,2021,0.00309
05531FBH5=,6,2021,0.00294
05531FBH5=,7,2021,0.0019450000000000001
05531FBH5=,8,2021,0.0024000000000000002
05531FBH5=,9,2021,0.00217
05531FBH5=,10,2021,0.001505
05531FBH5=,11,2021,0.00204
05531FBH5=,12,2021,0.004399999999999999
05531FBH5=,1,2022,0.00309
05531FBH5=,2,2022,0.00434
05531FBH5=,3,2022,0.00505
05531FBH5=,4,2022,0.00435
05531FBH5=,5,2022,0.00585
05531FBH5=,6,2022,0.00466
05531FBH5=,7,2022,0.00769
05531FBH5=,8,2022,0.004595
05531FBH5=,9,2022,0.004325000000000001
05531FBH5=,10,2022,0.00737
05531FBH5=,11,2022,0.00885
05531FBH5=,12,2022,0.0057
05531FBH5=,1,2023,0.00544
05531FBH5=,2,2023,0.003205
05531FBH5=,3,2023,0.0065450000000000005
05531FBH5=,4,2023,0.015954999999999997
05531FBH5=,5,2023,0.012150000000000001
05531FBH5=,6,2023,0.011810000000000001
05531FBH5=,7,2023,0.00387
05552JAA7=,11,2019,0.010790000000000001
05552JAA7=,12,2019,0.01072
05552JAA7=,1,2020,0.00978
05552JAA7=,2,2020,0.009635000000000001
05552JAA7=,3,2020,0.01133
